1	0.7820757053312333	0.35658132036527	0	0	0	299	0.4138278388278388	300	0.1540	95.4100%
1	0.3250925741011484	0.20054890960454944	0	1	0	599	0.24844322344322345	600	0.1040	96.6800%
1	0.25660313887146496	0.24000442543377476	0	2	0	899	0.3667124542124542	900	0.0795	97.6100%
1	0.22845703506472315	0.15435308984791243	0	3	0	1199	0.13891941391941393	1200	0.0674	97.9200%
1	0.2049382252036594	0.17745080093542734	0	4	0	1499	0.17591575091575093	1500	0.0615	98.1000%
1	0.18849242962652352	0.17753086350858208	0	5	0	1799	0.248992673992674	1800	0.0550	98.2700%
1	0.1812583818330249	0.3028996064638098	0	6	0	2099	0.254532967032967	2100	0.0505	98.4100%
1	0.1715077332211142	0.20707026484111943	0	7	0	2399	0.3028388278388278	2400	0.0554	98.3800%
1	0.16355444432071006	0.2251806487018863	0	8	0	2699	0.2336080586080586	2700	0.0466	98.5700%
1	0.15679741021702967	0.08084599285308895	0	9	0	2999	0.05128205128205128	3000	0.0444	98.5500%
1	0.15161339320729486	0.16692486613173968	0	10	0	3299	0.06927655677655678	3300	0.0432	98.6500%
1	0.14779844512412088	0.18505858993157745	0	11	0	3599	0.22234432234432233	3600	0.0412	98.7300%
1	0.14613003541602262	0.1677766506560147	0	12	0	3899	0.19395604395604396	3900	0.0433	98.7100%
1	0.14432474924758062	0.19141826787963512	0	13	0	4199	0.1782967032967033	4200	0.0416	98.6800%
1	0.13673995170971795	0.10019736073639555	0	14	0	4499	0.10375457875457876	4500	0.0416	98.6800%
1	0.136284359092061	0.14089391827583314	0	15	0	4799	0.027884615384615386	4800	0.0393	98.7700%
1	0.13002340421161268	0.15691555676360927	0	16	0	5099	0.264010989010989	5100	0.0390	98.7900%
1	0.12878825406522726	0.19891184340231124	0	17	0	5399	0.31245421245421245	5400	0.0383	98.7800%
1	0.1248332969318548	0.08869579546153546	0	18	0	5699	0.19372710622710623	5700	0.0392	98.8400%
1	0.12461596427050449	0.14690138045698403	0	19	0	5999	0.24212454212454212	6000	0.0384	98.8500%
